7 |BT| (HED (SBV 机构名) (SBV 北京) (ADV (ATT １２月)) (SBV 电) (SBV (ATT (ATT 外交部))) (ADV (ATT 今天)) (ADV (POB 这里)) (ADV (POB (ATT (ADV 明年) (ATT (ATT 中国)) (RAD 的)))) (RAD 了) (VOB (ATT (RAD 的))) (WP 。)) |BT| (HED(SBV 机构名) (SBV 机构名) (SBV 人名) ) |ET| |BV|6:1 10:1 14:1 15:1 |EV|
7 |BT| (SBV (ATT (ATT 机构名))) |BT| (ATT (ATT 机构名)) |ET| |BV|6:1 10:1 14:1 |EV|
7 |BT| (HED (SBV 新华社) (SBV 北京) (ADV (ATT １２月)) (SBV 电) (SBV (ATT (ATT 外交部))) (ADV (ATT 今天)) (ADV (POB 这里)) (ADV (POB (ATT (ADV 明年) (ATT (ATT 机构名)) (RAD 的)))) (RAD 了) (VOB (ATT (RAD 的))) (WP 。)) |BT| (HED(SBV 机构名) (SBV 机构名) (SBV 人名) ) |ET| |BV|10:1 |EV|
9 |BT| (HED (SBV 人名) (VOB (SBV (ATT 德班)) (ADV 德班) (ADV (ATT １２月)) (COO (SBV (ATT 记者)) (WP ：) (VOB (SBV (ATT (ATT (ATT 中国)) (ATT 副) (COO (LAD 兼)))) (ADV 今天) (RAD 了) (VOB (ATT (ATT 南非) (ATT (ATT 著名))))))) (WP 。)) |BT| (HED(SBV 机构名) ) |ET| |BV|6:1 10:1 16:1 17:1 |EV|
9 |BT| (COO (SBV (ATT 记者)) (WP ：) (VOB (SBV (ATT (ATT (ATT 中国)) (ATT 副) (COO (LAD 兼)))) (ADV 今天) (RAD 了) (VOB (ATT (ATT 南非) (ATT (ATT 著名)))))) |BT| (COO(SBV 人名) ) |ET| |BV|10:1 17:1 |EV|
9 |BT| (SBV (ATT (ATT (ATT 中国)) (ATT 副) (COO (LAD 兼)))) |BT| (ATT (ATT 机构名)) |ET| |BV|6:1 10:1 14:1 17:1 |EV|
9 |BT| (HED (SBV 人名) (VOB (SBV (ATT 德班)) (ADV 德班) (ADV (ATT １２月)) (COO (SBV (ATT 记者)) (WP ：) (VOB (SBV (ATT (ATT (ATT 中国)) (ATT 副) (COO (LAD 兼)))) (ADV 今天) (RAD 了) (VOB (ATT (ATT 机构名) (ATT (ATT 著名))))))) (WP 。)) |BT| (HED(SBV 机构名) ) |ET| |BV|6:1 10:1 15:1 16:1 17:1 |EV|
9 |BT| (COO (SBV (ATT 记者)) (WP ：) (VOB (SBV (ATT (ATT (ATT 中国)) (ATT 副) (COO (LAD 兼)))) (ADV 今天) (RAD 了) (VOB (ATT (ATT 机构名) (ATT (ATT 著名)))))) |BT| (COO(SBV 人名) ) |ET| |BV|6:1 10:1 15:1 16:1 17:1 |EV|
9 |BT| (VOB (SBV (ATT (ATT (ATT 中国)) (ATT 副) (COO (LAD 兼)))) (ADV 今天) (RAD 了) (VOB (ATT (ATT 机构名) (ATT (ATT 著名))))) |BT| (VOB(SBV 人名) ) |ET| |BV|10:1 17:1 |EV|
1 |BT| (SBV (ATT 机构名) (ATT 北京) (ATT (ATT １２月)) (ATT 电) (ATT (ATT (ATT (ATT 西藏))) (ATT 副))) |BT| (ATT 机构名) |ET| |BV|6:1 10:1 14:1 15:1 |EV|
1 |BT| (SBV (ATT 新华社) (ATT 北京) (ATT (ATT １２月)) (ATT 电) (ATT (ATT (ATT (ATT 西藏))) (ATT 副))) |BT| (ATT (ATT 机构名)) |ET| |BV|6:1 10:1 14:1 |EV|
